"Used to limit the number of wishlists of each customer.<br>Default = 5. If leaving blank or zero, there is no limitation.","Used to limit the number of wishlists of each customer.<br>Default = 5. If leaving blank or zero, there is no limitation."
"Enable Font Awesome for Wish Lists Page","Enable Font Awesome for Wish Lists Page"
"If the current theme is using Font Awesome, you should select <strong>No</strong> to optimize performance of the Wish Lists Page.","If the current theme is using Font Awesome, you should select <strong>No</strong> to optimize performance of the Wish Lists Page."
"Email Settings","Email Settings"
"No Items Found","No Items Found"
"Product Name","Product Name"
"User Description","User Description"
"Add Locale","Add Locale"
"Add Date","Add Date"
"Days in Wish List","Days in Wish List"
Action,Action
Configure,Configure
"Product ID","Product ID"
"Product Type","Product Type"
"Stock Qty","Stock Qty"
Count,Count
"Last Added","Last Added"
